PA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ANG MO KIO,14850,15210,15340,16410,17320,18340,19200,19860,20850,21470,22310,24180,25580,27030,28450,29800
BEDOK,23620,24330,24090,25410,26720,27880,28860,29780,31010,31720,32920,35330,37600,39890,42190,44350
BISHAN,6350,6500,6500,6860,7240,7760,8090,8320,8670,8850,9240,10050,10700,11450,12200,13010
BOON LAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUKIT BATOK,6370,6470,6480,6990,7470,7940,8370,8670,9190,9510,10000,10850,11930,12920,13870,15090
BUKIT MERAH,19320,19850,19600,20680,21330,22270,22840,23140,23870,24010,24480,25690,26530,27700,28740,29710
BUKIT PANJANG,5300,5520,5640,6060,6420,6740,7060,7340,7940,8270,8740,9520,10170,11020,12310,13220
BUKIT TIMAH,5620,5880,5530,5920,6470,6860,7170,7320,7430,7670,8030,8650,9200,9830,10480,11040
CENTRAL WATER CATCHMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHANGI,90,90,100,100,110,100,90,120,160,170,210,170,190,250,230,240
CHANGI BAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHOA CHU KANG,5840,6230,6510,6960,7420,7880,8170,8620,9030,9300,9720,10610,11420,12460,13350,14570
CLEMENTI,7050,7310,7410,7890,8270,8900,9280,9770,10360,10680,11190,12060,12930,13920,14850,15610
DOWNTOWN CORE,460,470,450,470,510,530,500,500,560,580,560,570,640,670,650,700
GEYLANG,12460,12600,12280,12930,13450,13930,14200,14350,14750,14820,14890,15660,16400,17130,17760,18420
HOUGANG,13550,13850,13940,14910,15740,16630,17230,18020,18970,19400,20300,21690,23420,25050,26920,28420
JURONG EAST,5220,5410,5390,5660,5990,6340,6590,6830,7200,7410,7760,8440,9150,9920,10650,11530
JURONG WEST,9610,9920,10120,10850,11700,12510,13120,13740,14640,15110,16110,17800,19400,21140,23180,25010
KALLANG,11730,11800,11260,11780,12400,12930,13350,13780,14190,14290,14860,15600,16250,16860,17350,17850
LIM CHU KANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANDAI,60,80,80,110,120,130,160,130,120,130,170,160,190,200,220,230
MARINA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINA SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINE PARADE,5430,5550,5350,5610,5960,6180,6330,6360,6600,6650,6890,7230,7600,7950,8180,8480
MUSEUM,0,0,0,0,0,0,10,10,10,10,0,10,10,0,10,0
NEWTON,610,680,570,620,630,640,670,590,640,660,720,790,820,890,950,1030
NORTH-EASTERN ISLANDS,10,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0
NOVENA,4920,4900,4690,4940,5360,5510,5610,5790,5990,6110,6240,6580,6950,7050,7320,7580
ORCHARD,50,40,20,10,30,30,60,50,50,80,60,70,100,100,120,150
OUTRAM,3860,3610,3210,3340,3420,3480,3640,3650,3770,3800,3960,4070,4240,4300,4410,4570
PASIR RIS,5050,5250,5260,5560,6040,6410,6630,6970,7350,7680,8100,8720,9490,10340,11200,12190
PAYA LEBAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIONEER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNGGOL,0,530,980,1450,1750,2050,2300,2470,2620,2880,3300,3930,5030,5910,6830,8190
QUEENSTOWN,12010,12300,12280,13000,13310,13880,14230,14490,14830,15090,15370,16000,16790,17380,17730,18320
RIVER VALLEY,990,990,860,890,920,900,810,770,800,830,850,880,960,1070,1140,1190
ROCHOR,3120,2980,2170,2250,2260,2420,2480,2500,2520,2420,2500,2560,2660,2690,2820,2860
SELETAR,10,10,10,0,0,10,10,20,10,20,10,10,10,0,0,0
SEMBAWANG,2040,2370,2470,2740,2960,3200,3330,3570,3710,3790,4010,4270,4540,5190,5530,5910
SENGKANG,4190,4800,5080,5670,6380,6960,7380,7940,8480,8920,9520,10550,11780,13210,14840,16710
SERANGOON,8830,9100,9110,9660,10360,10930,11290,11700,12260,12590,13190,14260,15060,16190,17160,18190
SIMPANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SINGAPORE RIVER,100,70,20,30,20,50,50,70,110,110,160,160,160,200,200,230
SOUTHERN ISLANDS,0,0,0,0,0,0,0,10,10,20,40,40,80,70,80,90
STRAITS VIEW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUNGEI KADUT,220,200,200,190,200,220,250,230,240,240,240,240,230,130,250,230
TAMPINES,13190,13380,13330,14050,14790,15590,16110,16710,17520,18000,18980,20630,22290,24150,26370,28210
TANGLIN,1410,1440,1220,1350,1430,1500,1560,1560,1650,1740,1820,2050,2150,2270,2370,2570
TENGAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOA PAYOH,13790,14140,14120,14960,15800,16610,17100,17630,18300,18610,19090,19970,20810,21540,22200,22640
TUAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WESTERN WATER CATCHMENT,0,0,0,0,0,10,0,0,70,80,90,70,70,80,70,70
WOODLANDS,8450,8900,9010,9620,10120,10680,11100,11540,12190,12580,13290,14380,15570,16720,17940,19070
YISHUN,8480,8810,8670,9220,9770,10450,10970,11600,12240,12810,13530,14680,15920,17510,19390,21030
